FFQ	36	0	54	710	1689	1102	1127	964	1689	1565	1223	1863	1713	1811	1751	1941	2139	2206	3238	2957	3825	3814	4924	4419	4707	6462	7353	7589	10574	10359	12859	13317	14236	13665	17357	8949	49	74	76	45	6	10	0
FFQ	37	0	180	905	2473	1686	1378	1490	2095	2235	1598	2254	2189	2552	2101	2227	2828	3710	3426	4116	4056	4804	4801	4667	6552	6329	6683	9771	8309	10124	10757	11857	12252	11684	14891	7245	81	46	36	16	2	5	0
FFQ	38	0	7	9	39	38	32	22	40	30	38	40	48	18	42	61	61	29	56	68	117	32	157	87	215	248	579	269	499	483	984	1409	3315	5074	13718	8061	86	69	35	7	1	2	0
FFQ	39	0	7	5	46	38	27	35	33	36	40	41	25	31	52	59	62	31	51	84	103	47	153	73	300	240	569	329	600	429	1027	1433	3407	6255	13616	6605	52	41	33	52	18	40	0
FFQ	40	0	4	9	38	51	40	35	24	38	41	34	45	21	47	50	70	38	34	116	82	74	177	74	290	239	671	200	565	525	1154	1266	3353	5380	14063	7064	84	63	36	19	11	0	0
FFQ	41	0	0	13	47	54	35	29	49	36	29	51	57	55	24	45	52	91	60	51	62	130	61	200	157	227	500	353	328	801	1002	1203	3349	5671	13349	7748	34	50	44	20	23	35	0
FFQ	42	0	0	16	60	54	34	31	39	30	36	57	59	42	21	69	28	91	37	58	115	137	62	205	120	231	616	320	539	644	646	1356	3529	5542	13038	8071	30	74	48	27	13	0	0
FFQ	43	0	0	18	52	57	41	28	41	38	20	51	65	48	25	65	68	61	62	69	115	133	41	242	185	263	513	284	406	842	881	1590	4326	5730	11328	8297	61	30	26	6	3	14	0
FFQ	44	0	9	19	50	54	32	41	27	62	50	48	56	55	74	22	122	35	85	36	136	64	96	221	194	316	490	536	475	731	665	1519	3309	5780	13620	6888	47	52	55	27	9	18	0
FFQ	45	0	9	22	58	79	51	54	31	56	41	56	58	48	34	51	61	47	70	64	145	67	70	259	154	459	466	355	644	676	698	1681	3401	5526	12354	8059	44	32	22	59	39	25	0
FFQ	46	0	0	18	59	100	36	44	40	57	34	74	54	57	50	43	81	50	80	69	57	187	85	167	247	241	650	243	643	502	723	980	3712	6130	12379	7984	59	57	68	41	16	8	0
FFQ	47	0	0	24	82	90	53	35	63	57	52	45	52	73	25	72	68	107	31	91	44	178	98	85	388	271	649	260	657	538	1005	1550	3886	6822	11266	7200	42	33	40	37	33	23	0
FFQ	48	0	10	8	77	86	58	37	46	39	60	48	95	51	25	95	64	112	41	92	52	234	110	141	287	277	593	318	717	687	978	1359	3690	5851	11793	7794	55	37	37	24	17	30	0
FFQ	49	0	16	24	85	64	55	36	53	43	62	43	99	51	49	73	41	147	59	103	67	213	91	91	380	276	636	327	557	832	1137	1717	3875	6380	11035	7197	79	58	40	16	2	16	0
FFQ	50	0	7	20	90	97	45	41	53	56	67	63	89	45	62	64	53	126	53	93	106	183	122	124	304	316	591	338	744	787	1296	1733	3866	6640	11372	6341	37	36	18	29	6	12	0
FFQ	51	0	0	31	58	126	40	61	28	74	28	73	68	47	109	39	79	84	81	98	98	96	234	136	240	489	363	480	346	919	983	1467	3262	6403	11581	7729	37	56	45	30	7	0	0
FFQ	52	0	12	18	97	99	55	56	56	62	42	58	67	85	55	63	63	96	142	73	95	53	325	125	234	469	471	487	641	812	1181	1756	3719	6606	11452	6247	144	43	22	24	4	16	0
FFQ	53	0	24	8	88	101	70	44	67	60	78	70	69	112	22	105	77	167	51	131	45	177	240	127	277	383	432	558	364	937	1187	1387	4052	6772	10832	6502	423	44	23	10	7	2	0
FFQ	54	6	16	25	106	132	63	19	67	57	85	80	60	84	30	117	99	144	55	131	81	97	364	92	288	406	471	579	692	753	1601	1534	4031	6211	11309	5949	146	55	34	32	15	9	0
FFQ	55	5	10	25	92	131	79	37	95	99	78	56	73	130	54	134	61	194	57	140	71	301	167	138	438	342	719	497	534	759	1547	1487	4711	6142	11051	5482	142	16	9	13	2	7	0
FFQ	56	294	202	140	236	235	96	179	204	152	240	135	292	268	276	200	379	232	671	284	879	314	385	380	1176	818	447	1082	1206	1337	2411	3172	4710	5846	5620	1587	14	14	11	1	0	0	0
FFQ	57	15	22	27	130	148	74	70	88	73	69	82	116	123	46	80	112	72	181	62	137	94	311	249	215	688	419	595	560	953	1373	1616	3837	7377	9653	5586	792	41	12	6	10	11	0
FFQ	58	26	11	27	132	134	82	63	79	76	46	102	89	126	66	76	94	92	171	64	195	63	253	372	142	542	605	300	843	745	1256	2286	3602	6129	10416	6204	487	43	32	15	13	26	0
FFQ	59	20	13	45	139	159	74	55	103	84	91	89	82	140	77	129	89	50	204	64	166	102	375	221	187	703	346	584	675	829	1711	1863	4534	6516	9661	5553	286	37	20	25	11	13	0
FFQ	60	298	300	166	266	225	107	184	260	199	251	238	139	345	165	459	382	539	713	862	936	466	1293	1076	293	388	1067	1607	1267	2264	2782	3757	4042	4714	3102	971	2	0	0	0	0	0	0
FFQ	61	23	0	62	141	185	58	94	91	80	101	101	138	78	149	88	159	134	56	239	80	248	174	434	307	397	744	386	727	697	1468	2000	3408	8197	10104	4418	230	32	30	30	13	24	0
