GCC	56	26.26	24.08	23.92	25.74	0.41	0.00
GCC	57	26.24	24.12	23.82	25.82	0.02	0.00
GCC	58	26.58	23.86	23.68	25.89	0.04	0.00
GCC	59	26.35	23.73	23.93	25.99	0.03	0.00
GCC	60	26.16	24.00	24.05	25.78	0.47	0.00
GCC	61	26.23	23.69	24.19	25.88	0.09	0.00
GCC	62	26.17	23.60	24.42	25.81	0.09	0.00
GCC	63	26.26	23.80	24.20	25.74	0.09	0.00
GCC	64	26.19	23.98	23.93	25.90	0.05	0.00
GCC	65	25.88	24.20	24.19	25.73	0.09	0.00
GCC	66	25.96	23.98	24.25	25.81	0.09	0.00
GCC	67	26.12	23.88	24.19	25.80	0.09	0.00
GCC	68	25.99	23.96	24.42	25.63	0.06	0.00
GCC	69	26.20	23.90	24.05	25.85	0.04	0.00
GCC	70	25.94	24.03	24.32	25.72	0.05	0.00
GCC	71	25.80	24.12	24.36	25.72	0.04	0.00
GCC	72	26.04	23.97	24.45	25.54	0.13	0.00
GCC	73	25.84	23.94	24.59	25.62	0.13	0.00
GCC	74	26.07	23.92	24.19	25.82	0.12	0.00
GCC	75	26.19	24.08	24.38	25.35	0.13	0.00
GCC	76	25.92	24.24	24.22	25.63	0.13	0.00
GCC	77	25.97	24.19	24.48	25.36	0.12	0.00
GCC	78	25.96	24.21	24.38	25.46	0.13	0.00
GCC	79	25.91	24.11	24.22	25.76	0.12	0.00
GCC	80	25.56	24.45	24.36	25.63	0.12	0.00
GCC	81	26.02	23.86	24.35	25.77	0.09	0.00
GCC	82	25.77	24.41	24.38	25.44	0.09	0.00
GCC	83	25.72	24.56	24.44	25.27	0.12	0.00
GCC	84	25.98	24.44	24.12	25.46	0.15	0.00
GCC	85	25.35	24.59	24.54	25.52	0.13	0.00
GCC	86	25.75	24.41	24.26	25.58	0.14	0.00
GCC	87	25.55	24.43	24.57	25.45	0.14	0.00
GCC	88	25.85	24.32	24.41	25.42	0.14	0.00
GCC	89	25.34	24.45	24.61	25.60	0.15	0.00
GCC	90	25.75	24.48	24.44	25.33	0.16	0.00
GCC	91	25.68	24.63	24.06	25.62	0.50	0.00
GCC	92	25.67	24.35	24.36	25.62	0.17	0.00
GCC	93	25.53	24.30	24.62	25.55	0.21	0.00
GCC	94	25.44	24.51	24.53	25.52	0.20	0.00
GCC	95	25.63	24.79	24.40	25.19	0.23	0.00
GCC	96	25.47	24.53	24.56	25.45	0.24	0.00
GCC	97	25.51	24.72	24.61	25.16	0.23	0.00
GCC	98	25.73	24.54	24.71	25.02	0.23	0.00
GCC	99	25.35	24.45	24.79	25.41	0.23	0.00
GCC	100	25.37	24.84	24.87	24.91	0.24	0.00
GCC	101	25.56	24.81	24.62	25.01	0.25	0.00
GCC	102	25.49	24.63	24.78	25.11	0.24	0.00
GCC	103	25.38	24.76	24.88	24.98	0.69	0.00
GCC	104	25.49	24.66	24.82	25.03	0.29	0.00
GCC	105	25.03	24.92	25.00	25.05	0.27	0.00
GCC	106	25.44	24.54	24.84	25.18	0.27	0.00
GCC	107	25.13	24.71	25.05	25.11	0.27	0.00
GCC	108	24.31	25.69	25.87	24.13	1.10	0.00
# ACGT content per cycle, read oriented. Use `grep ^GCT | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]
GCT	1	32.27	17.14	24.23	26.37
GCT	2	30.13	20.56	24.53	24.79
GCT	3	29.15	20.65	23.63	26.57
GCT	4	26.95	21.94	25.59	25.52
GCT	5	28.72	21.09	24.17	26.02
GCT	6	28.41	23.11	24.83	23.65
GCT	7	27.81	21.94	23.83	26.42
GCT	8	27.61	22.67	23.56	26.17
GCT	9	27.42	22.88	23.19	26.51
GCT	10	28.29	22.91	23.14	25.66
GCT	11	27.56	22.77	23.33	26.35
GCT	12	27.32	22.94	22.97	26.77
GCT	13	27.31	22.76	22.73	27.20
GCT	14	27.30	22.84	22.75	27.11
GCT	15	27.17	23.03	22.82	26.98
GCT	16	27.11	23.10	22.77	27.03
GCT	17	27.18	22.92	22.85	27.05
GCT	18	26.89	23.16	22.91	27.04
GCT	19	26.92	23.20	22.76	27.12
GCT	20	27.02	23.09	22.94	26.95
GCT	21	27.11	23.09	22.95	26.85
GCT	22	26.73	23.45	22.88	26.94
GCT	23	26.96	23.11	22.94	27.00
GCT	24	26.82	23.34	22.97	26.87
GCT	25	26.97	23.16	23.11	26.76
GCT	26	26.88	23.08	23.24	26.80
GCT	27	26.91	23.12	23.23	26.74
GCT	28	26.97	23.03	23.32	26.68
GCT	29	26.92	23.02	23.19	26.87
GCT	30	26.65	22.93	23.40	27.01
GCT	31	26.71	23.06	23.54	26.70
GCT	32	26.83	22.93	23.57	26.68
GCT	33	26.96	22.81	23.66	26.57
GCT	34	27.02	22.68	23.57	26.73
GCT	35	26.81	22.84	23.72	26.63
GCT	36	26.89	22.59	23.87	26.65
GCT	37	26.92	22.45	24.01	26.62
GCT	38	26.10	23.77	23.97	26.16
GCT	39	25.96	23.87	23.61	26.56
GCT	40	25.97	23.36	24.18	26.48
GCT	41	25.98	23.52	24.07	26.42
GCT	42	25.96	23.31	24.41	26.33
GCT	43	26.18	23.57	23.91	26.34
GCT	44	25.83	23.71	23.83	26.63
GCT	45	26.09	23.88	23.80	26.23
GCT	46	26.03	23.72	23.87	26.38
GCT	47	25.89	23.82	24.09	26.20
GCT	48	25.51	23.61	24.22	26.66
GCT	49	25.99	23.91	23.78	26.31
GCT	50	25.90	24.05	23.73	26.33
GCT	51	26.22	23.77	23.75	26.27
GCT	52	25.89	23.80	24.07	26.24
GCT	53	25.93	23.90	23.85	26.32
GCT	54	25.93	23.66	23.92	26.50
GCT	55	25.50	24.08	24.14	26.29
GCT	56	25.94	24.24	23.76	26.07
GCT	57	25.68	24.10	23.84	26.38
GCT	58	26.07	23.44	24.10	26.40
GCT	59	26.07	23.76	23.89	26.27
GCT	60	25.73	24.04	24.01	26.22
GCT	61	25.68	24.18	23.71	26.44
GCT	62	25.73	24.31	23.71	26.25
GCT	63	25.39	24.13	23.87	26.62
GCT	64	25.97	23.82	24.09	26.11
GCT	65	25.59	24.05	24.34	26.02
GCT	66	25.78	24.00	24.23	25.99
GCT	67	25.78	24.12	23.96	26.15
GCT	68	25.94	24.40	23.98	25.68
GCT	69	25.61	24.15	23.80	26.45
GCT	70	25.36	24.21	24.13	26.30
GCT	71	25.41	24.29	24.19	26.11
GCT	72	25.58	24.10	24.32	26.00
GCT	73	25.50	24.33	24.20	25.97
GCT	74	25.97	24.19	23.92	25.92
GCT	75	25.48	24.26	24.20	26.06
GCT	76	25.50	24.44	24.02	26.04
GCT	77	25.34	24.64	24.03	25.99
GCT	78	25.61	24.57	24.02	25.80
GCT	79	25.45	24.24	24.08	26.22
GCT	80	25.52	24.51	24.30	25.67
GCT	81	25.65	24.19	24.02	26.14
GCT	82	25.43	24.28	24.51	25.78
GCT	83	25.18	24.49	24.52	25.82
GCT	84	25.60	24.18	24.39	25.83
GCT	85	25.40	24.75	24.38	25.47
GCT	86	25.51	24.60	24.08	25.82
GCT	87	25.72	24.46	24.53	25.29
GCT	88	25.72	24.40	24.33	25.55
GCT	89	25.35	24.38	24.69	25.59
GCT	90	25.36	24.73	24.18	25.73
GCT	91	25.36	24.56	24.14	25.95
GCT	92	25.37	24.70	24.01	25.92
GCT	93	25.27	24.72	24.19	25.81
GCT	94	25.13	24.81	24.24	25.82
GCT	95	25.16	24.80	24.38	25.65
GCT	96	25.25	24.71	24.37	25.66
GCT	97	25.27	24.98	24.36	25.40
GCT	98	25.17	25.02	24.22	25.58
GCT	99	25.05	24.92	24.32	25.71
GCT	100	24.82	25.29	24.42	25.47
GCT	101	24.89	25.01	24.42	25.68
GCT	102	25.08	24.89	24.52	25.52
GCT	103	24.70	25.05	24.59	25.67
GCT	104	25.16	24.96	24.52	25.36
GCT	105	24.75	25.25	24.67	25.33
GCT	106	25.05	25.26	24.11	25.58
GCT	107	24.77	25.49	24.27	25.48
GCT	108	24.05	25.57	25.99	24.39
# ACGT content per cycle for first fragments. Use `grep ^FBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
FBC	1	30.04	20.22	20.12	29.62	0.00	0.00
FBC	2	27.43	22.74	22.76	27.07	0.00	0.00
FBC	3	28.59	21.75	21.68	27.98	0.00	0.00
FBC	4	26.86	23.24	23.26	26.63	0.00	0.00
FBC	5	27.79	22.40	22.50	27.31	0.00	0.00
FBC	6	26.33	23.82	23.60	26.25	0.00	0.00
FBC	7	27.59	22.71	22.67	27.03	0.00	0.00
FBC	8	27.43	22.86	22.89	26.81	0.00	0.00
FBC	9	27.41	22.82	22.85	26.93	0.00	0.00
FBC	10	27.50	22.69	22.95	26.86	0.00	0.00
FBC	11	27.42	22.72	23.08	26.78	0.00	0.00
FBC	12	27.46	22.75	22.87	26.92	0.00	0.00
FBC	13	27.57	22.55	22.76	27.13	0.00	0.00
FBC	14	27.52	22.68	22.80	27.00	0.00	0.00
FBC	15	27.30	22.90	22.78	27.02	0.00	0.00
FBC	16	27.24	22.87	22.98	26.90	0.00	0.00
FBC	17	27.22	22.94	22.84	27.00	0.00	0.00
FBC	18	27.15	22.95	23.12	26.78	0.00	0.00
FBC	19	27.24	22.88	23.10	26.78	0.00	0.00
FBC	20	27.14	22.83	23.11	26.92	0.00	0.00
FBC	21	27.25	22.95	23.10	26.71	0.00	0.00
FBC	22	27.06	23.07	23.40	26.47	0.00	0.00
FBC	23	27.26	23.02	23.08	26.64	0.00	0.00
FBC	24	26.91	23.14	23.33	26.62	0.00	0.00
FBC	25	27.11	22.99	23.19	26.72	0.00	0.00
FBC	26	27.00	23.17	23.25	26.58	0.00	0.00
FBC	27	26.90	23.15	23.15	26.81	0.00	0.00
FBC	28	26.97	23.15	23.25	26.62	0.00	0.00
FBC	29	27.17	22.99	23.17	26.67	0.00	0.00
FBC	30	26.98	23.23	23.18	26.61	0.00	0.00
FBC	31	26.94	23.33	23.32	26.41	0.00	0.00
FBC	32	27.06	23.12	23.29	26.53	0.00	0.00
FBC	33	27.01	23.16	23.22	26.61	0.00	0.00
FBC	34	27.02	23.05	23.11	26.81	0.00	0.00
FBC	35	26.81	23.29	23.44	26.46	0.00	0.00
FBC	36	26.91	23.15	23.08	26.87	0.00	0.00
FBC	37	26.92	23.20	23.26	26.61	0.01	0.00
FBC	38	26.33	23.76	24.04	25.87	0.00	0.00
FBC	39	26.39	23.69	23.83	26.09	0.00	0.00
FBC	40	26.48	23.81	24.02	25.69	0.00	0.00
FBC	41	26.36	23.88	23.57	26.20	0.00	0.00
FBC	42	26.31	24.03	23.81	25.85	0.00	0.00
FBC	43	26.36	24.14	23.74	25.75	0.00	0.00
FBC	44	26.18	23.91	23.64	26.28	0.00	0.00
FBC	45	26.38	23.87	23.93	25.82	0.00	0.00
FBC	46	26.36	23.88	23.62	26.15	0.00	0.00
FBC	47	25.89	24.30	23.89	25.92	0.00	0.00
FBC	48	26.00	23.87	24.26	25.87	0.00	0.00
FBC	49	25.83	24.03	23.96	26.18	0.00	0.00
FBC	50	25.99	23.90	23.84	26.27	0.00	0.00
FBC	51	26.34	23.67	24.00	25.98	0.00	0.00
FBC	52	25.52	24.09	24.29	26.10	0.00	0.00
FBC	53	26.02	23.60	24.14	26.24	0.00	0.00
FBC	54	26.34	23.84	23.69	26.12	0.02	0.00
FBC	55	26.02	24.21	24.08	25.69	0.01	0.00
FBC	56	26.40	24.30	23.96	25.34	0.82	0.00
FBC	57	26.27	23.97	24.03	25.73	0.04	0.00
FBC	58	26.62	24.19	23.81	25.39	0.07	0.00
FBC	59	26.29	23.45	24.24	26.02	0.06	0.00
FBC	60	26.17	23.95	24.13	25.75	0.83	0.00
FBC	61	25.93	23.81	24.63	25.63	0.06	0.00
FBC	62	26.22	23.55	24.39	25.84	0.07	0.00
FBC	63	25.99	24.00	24.34	25.67	0.07	0.00
FBC	64	26.03	24.05	24.04	25.88	0.09	0.00
FBC	65	25.60	24.27	24.50	25.63	0.09	0.00
FBC	66	25.89	24.03	24.09	25.98	0.08	0.00
FBC	67	25.99	23.99	24.18	25.84	0.09	0.00
FBC	68	25.92	24.03	24.54	25.52	0.11	0.00
FBC	69	26.27	23.72	24.10	25.91	0.09	0.00
FBC	70	25.84	24.23	24.50	25.43	0.10	0.00
FBC	71	25.75	24.20	24.43	25.62	0.08	0.00
FBC	72	26.06	24.20	24.57	25.16	0.14	0.00
FBC	73	25.54	24.15	24.64	25.68	0.13	0.00
FBC	74	25.85	24.31	24.09	25.76	0.14	0.00
FBC	75	25.93	24.16	24.48	25.43	0.15	0.00
FBC	76	25.52	24.23	24.42	25.83	0.15	0.00
FBC	77	25.88	24.57	24.51	25.03	0.16	0.00
FBC	78	26.22	24.24	24.14	25.40	0.17	0.00
FBC	79	25.78	24.32	24.32	25.58	0.17	0.00
FBC	80	25.36	24.68	24.52	25.44	0.17	0.00
FBC	81	26.15	24.10	24.24	25.52	0.18	0.00
FBC	82	25.71	24.45	24.37	25.47	0.18	0.00
FBC	83	25.59	24.68	24.32	25.41	0.19	0.00
FBC	84	25.90	24.83	24.04	25.23	0.18	0.00
FBC	85	25.05	24.67	24.82	25.46	0.19	0.00
FBC	86	25.62	24.62	24.39	25.37	0.19	0.00
FBC	87	25.48	24.48	24.72	25.31	0.19	0.00
FBC	88	25.80	24.12	24.55	25.53	0.20	0.00
FBC	89	25.16	24.62	24.70	25.53	0.20	0.00
FBC	90	25.60	24.80	24.48	25.12	0.22	0.00
FBC	91	25.60	24.56	24.23	25.61	0.90	0.00
FBC	92	25.56	24.39	24.71	25.34	0.22	0.00
FBC	93	25.48	24.63	24.45	25.44	0.32	0.00
FBC	94	25.32	24.61	24.64	25.43	0.30	0.00
FBC	95	25.18	25.16	24.60	25.06	0.33	0.00
FBC	96	25.63	24.56	24.56	25.25	0.32	0.00
FBC	97	25.20	24.81	24.94	25.06	0.34	0.00
FBC	98	25.71	24.54	24.58	25.17	0.36	0.00
FBC	99	25.07	24.74	24.68	25.51	0.34	0.00
FBC	100	25.40	25.09	25.06	24.45	0.37	0.00
FBC	101	25.36	24.93	24.54	25.18	0.38	0.00
FBC	102	25.41	24.60	24.66	25.32	0.37	0.00
FBC	103	25.03	25.34	24.77	24.86	0.39	0.00
FBC	104	25.47	24.67	24.95	24.91	0.42	0.00
FBC	105	24.93	24.94	25.39	24.75	0.40	0.00
FBC	106	25.47	24.95	24.70	24.87	0.42	0.00
FBC	107	25.23	25.08	25.14	24.55	0.42	0.00
FBC	108	24.20	26.08	26.01	23.71	0.41	0.00
# ACGT raw counters for first fragments. Use `grep ^FTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
FTC	2421212	2098759	2105169	2388199	4743
# ACGT content per cycle for last fragments. Use `grep ^LBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
LBC	1	29.02	21.18	21.22	28.57	0.00	0.00
LBC	2	27.74	22.23	22.44	27.59	0.00	0.00
LBC	3	27.67	22.65	22.49	27.20	0.00	0.00
LBC	4	25.79	24.21	24.35	25.65	0.00	0.00
LBC	5	27.40	22.76	22.87	26.97	0.00	0.00
LBC	6	25.85	24.20	24.27	25.68	0.00	0.00
LBC	7	27.20	23.06	23.11	26.63	0.00	0.00
LBC	8	26.90	23.35	23.36	26.40	0.00	0.00
LBC	9	26.85	23.13	23.36	26.67	0.00	0.00
LBC	10	26.82	23.23	23.24	26.71	0.00	0.00
LBC	11	27.22	23.23	23.17	26.38	0.00	0.00
LBC	12	27.01	22.92	23.30	26.77	0.00	0.00
LBC	13	27.43	22.75	22.91	26.91	0.00	0.00
LBC	14	27.54	22.71	22.99	26.76	0.00	0.00
LBC	15	27.26	22.93	23.09	26.71	0.00	0.00
LBC	16	27.29	22.95	22.92	26.83	0.00	0.00
LBC	17	27.32	22.79	22.97	26.92	0.00	0.00
LBC	18	27.23	22.94	23.13	26.70	0.00	0.00
LBC	19	27.31	22.94	22.99	26.75	0.00	0.00
LBC	20	27.15	23.05	23.08	26.73	0.00	0.00
LBC	21	27.15	22.98	23.05	26.82	0.00	0.00
LBC	22	27.19	23.20	22.99	26.63	0.00	0.00
LBC	23	27.14	22.75	23.25	26.86	0.00	0.00
LBC	24	27.10	22.91	23.24	26.75	0.00	0.00
LBC	25	27.08	23.16	23.19	26.57	0.00	0.00
LBC	26	26.89	23.02	23.20	26.89	0.00	0.00
LBC	27	27.00	23.09	23.32	26.59	0.02	0.00
LBC	28	27.02	23.13	23.17	26.68	0.00	0.00
LBC	29	26.97	22.99	23.27	26.77	0.00	0.00
LBC	30	27.12	23.09	23.17	26.62	0.00	0.00
LBC	31	27.11	23.11	23.43	26.35	0.00	0.00
LBC	32	26.96	23.15	23.43	26.46	0.00	0.00
LBC	33	26.86	23.18	23.38	26.58	0.00	0.00
LBC	34	27.05	23.08	23.24	26.62	0.00	0.00
LBC	35	26.99	23.08	23.30	26.62	0.00	0.00
LBC	36	26.84	23.38	23.31	26.46	0.00	0.00
LBC	37	26.98	23.22	23.24	26.56	0.01	0.00
LBC	38	26.43	23.67	24.01	25.89	0.00	0.00
LBC	39	26.79	23.53	23.91	25.77	0.00	0.00
LBC	40	26.10	23.35	23.90	26.64	0.00	0.00
LBC	41	26.13	23.71	24.04	26.12	0.04	0.00
LBC	42	26.00	23.86	23.72	26.42	0.07	0.00
LBC	43	26.57	23.61	23.46	26.36	0.00	0.00
LBC	44	26.71	23.36	24.18	25.75	0.00	0.00
LBC	45	26.42	23.71	23.84	26.03	0.00	0.00
LBC	46	26.29	23.68	24.00	26.03	0.00	0.00
LBC	47	26.34	23.80	23.84	26.03	0.00	0.00
LBC	48	26.37	23.81	23.73	26.09	0.00	0.00
LBC	49	26.57	23.76	23.64	26.04	0.00	0.00
LBC	50	26.13	23.82	23.98	26.07	0.00	0.00
LBC	51	26.39	23.53	23.83	26.25	0.00	0.00
LBC	52	26.23	23.48	23.88	26.41	0.00	0.00
LBC	53	26.67	23.83	23.93	25.57	0.00	0.00
LBC	54	26.38	23.54	24.08	25.99	0.00	0.00
LBC	55	26.22	24.10	24.03	25.65	0.00	0.00
LBC	56	26.12	23.86	23.88	26.15	0.00	0.00
LBC	57	26.21	24.27	23.61	25.91	0.00	0.00
LBC	58	26.54	23.53	23.54	26.39	0.00	0.00
LBC	59	26.41	24.02	23.61	25.96	0.00	0.00
LBC	60	26.16	24.06	23.97	25.82	0.11	0.00
LBC	61	26.54	23.57	23.75	26.14	0.13	0.00
LBC	62	26.11	23.65	24.45	25.79	0.11	0.00
LBC	63	26.54	23.60	24.04	25.81	0.11	0.00
LBC	64	26.34	23.92	23.82	25.92	0.01	0.00
LBC	65	26.17	24.13	23.87	25.83	0.09	0.00
LBC	66	26.02	23.93	24.41	25.64	0.10	0.00
LBC	67	26.26	23.77	24.21	25.77	0.10	0.00
LBC	68	26.06	23.90	24.30	25.74	0.01	0.00
LBC	69	26.13	24.07	24.00	25.80	0.00	0.00
LBC	70	26.04	23.82	24.13	26.01	0.00	0.00
LBC	71	25.84	24.04	24.30	25.83	0.00	0.00
LBC	72	26.01	23.74	24.32	25.93	0.11	0.00
LBC	73	26.15	23.73	24.54	25.57	0.12	0.00
LBC	74	26.29	23.53	24.29	25.89	0.10	0.00
LBC	75	26.45	23.99	24.28	25.28	0.10	0.00
LBC	76	26.32	24.24	24.02	25.42	0.11	0.00
LBC	77	26.05	23.81	24.45	25.69	0.08	0.00
LBC	78	25.69	24.18	24.62	25.51	0.09	0.00
LBC	79	26.04	23.89	24.12	25.95	0.07	0.00
LBC	80	25.76	24.22	24.21	25.81	0.08	0.00
LBC	81	25.89	23.62	24.47	26.03	0.01	0.00
LBC	82	25.84	24.37	24.39	25.41	0.00	0.00
LBC	83	25.86	24.44	24.56	25.14	0.06	0.00
LBC	84	26.05	24.05	24.21	25.69	0.11	0.00
LBC	85	25.65	24.51	24.26	25.58	0.08	0.00
LBC	86	25.87	24.21	24.12	25.79	0.10	0.00
LBC	87	25.62	24.37	24.42	25.59	0.10	0.00
LBC	88	25.89	24.52	24.28	25.32	0.08	0.00
LBC	89	25.51	24.29	24.53	25.67	0.11	0.00
LBC	90	25.90	24.15	24.40	25.55	0.10	0.00
LBC	91	25.76	24.70	23.90	25.64	0.11	0.00
LBC	92	25.78	24.31	24.00	25.90	0.11	0.00
LBC	93	25.58	23.97	24.79	25.66	0.10	0.00
LBC	94	25.55	24.41	24.43	25.61	0.10	0.00
LBC	95	26.07	24.41	24.19	25.33	0.12	0.00
LBC	96	25.30	24.49	24.56	25.64	0.15	0.00
LBC	97	25.83	24.63	24.28	25.26	0.13	0.00
LBC	98	25.75	24.53	24.83	24.88	0.11	0.00
LBC	99	25.63	24.15	24.90	25.31	0.12	0.00
LBC	100	25.35	24.59	24.67	25.38	0.12	0.00
LBC	101	25.77	24.70	24.70	24.83	0.11	0.00
LBC	102	25.56	24.66	24.89	24.89	0.12	0.00
LBC	103	25.74	24.17	24.98	25.10	0.98	0.00
LBC	104	25.51	24.66	24.69	25.15	0.17	0.00
LBC	105	25.14	24.90	24.61	25.35	0.15	0.00
LBC	106	25.41	24.12	24.97	25.50	0.11	0.00
LBC	107	25.02	24.33	24.97	25.68	0.11	0.00
LBC	108	24.41	25.29	25.74	24.56	1.80	0.00
# ACGT raw counters for last fragments. Use `grep ^LTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
LTC	2394322	2082224	2095147	2361081	2647
# Insert sizes. Use `grep ^IS | cut -f 2-` to extract this part. The columns are: insert size, pairs total, inward oriented pairs, outward oriented pairs, other pairs
IS	0	1	0	0	1
IS	1	0	0	0	0
IS	2	0	0	0	0
IS	3	0	0	0	0
IS	4	0	0	0	0
IS	5	0	0	0	0
IS	6	0	0	0	0
IS	7	0	0	0	0
IS	8	0	0	0	0
IS	9	0	0	0	0
IS	10	0	0	0	0
IS	11	0	0	0	0
IS	12	0	0	0	0
IS	13	0	0	0	0
IS	14	0	0	0	0
IS	15	0	0	0	0
IS	16	0	0	0	0
IS	17	0	0	0	0
IS	18	0	0	0	0
IS	19	0	0	0	0
IS	20	0	0	0	0
IS	21	0	0	0	0
IS	22	0	0	0	0
IS	23	0	0	0	0
IS	24	0	0	0	0
IS	25	0	0	0	0
IS	26	0	0	0	0
IS	27	0	0	0	0
IS	28	0	0	0	0
IS	29	0	0	0	0
IS	30	0	0	0	0
IS	31	1	0	1	0
IS	32	13	0	13	0
IS	33	48	0	48	0
IS	34	129	7	122	0
IS	35	211	26	185	0
IS	36	260	149	111	0
IS	37	294	293	1	0
IS	38	333	332	0	1
IS	39	374	374	0	0
IS	40	391	391	0	0
IS	41	438	438	0	0
IS	42	462	462	0	0
IS	43	494	494	0	0
IS	44	526	526	0	0
IS	45	570	570	0	0
IS	46	587	587	0	0
IS	47	601	601	0	0
IS	48	665	665	0	0
IS	49	696	695	0	1
IS	50	663	663	0	0
IS	51	709	708	1	0
IS	52	755	755	0	0
IS	53	745	745	0	0
IS	54	786	786	0	0
IS	55	834	834	0	0
IS	56	892	892	0	0
IS	57	838	838	0	0
IS	58	913	913	0	0
IS	59	941	941	0	0
IS	60	970	970	0	0
IS	61	915	914	1	0
IS	62	935	935	0	0
IS	63	973	973	0	0
IS	64	992	992	0	0
IS	65	946	946	0	0
IS	66	1008	1008	0	0
IS	67	969	968	1	0
IS	68	976	976	0	0
IS	69	959	959	0	0
IS	70	984	984	0	0
IS	71	985	985	0	0
IS	72	990	990	0	0
IS	73	1013	1013	0	0
IS	74	1052	1050	2	0
IS	75	985	985	0	0
IS	76	961	960	1	0
IS	77	984	984	0	0
IS	78	982	982	0	0
IS	79	1008	1008	0	0
IS	80	919	919	0	0
IS	81	930	930	0	0
IS	82	932	932	0	0
IS	83	941	941	0	0
IS	84	908	908	0	0
IS	85	964	964	0	0
IS	86	900	900	0	0
IS	87	898	898	0	0
IS	88	869	869	0	0
IS	89	877	877	0	0
IS	90	847	847	0	0
IS	91	819	819	0	0
IS	92	823	823	0	0
IS	93	720	720	0	0
IS	94	790	790	0	0
IS	95	866	866	0	0
IS	96	787	787	0	0
IS	97	795	795	0	0
IS	98	738	737	1	0
IS	99	756	755	1	0
IS	100	749	749	0	0
IS	101	755	752	3	0
IS	102	705	704	1	0
IS	103	736	736	0	0
IS	104	689	688	1	0
IS	105	690	689	1	0
IS	106	710	710	0	0
IS	107	714	713	1	0
IS	108	701	701	0	0
IS	109	688	688	0	0
IS	110	626	626	0	0
IS	111	617	617	0	0
IS	112	636	636	0	0
IS	113	636	636	0	0
IS	114	602	602	0	0
IS	115	630	630	0	0
IS	116	612	612	0	0
IS	117	599	599	0	0
IS	118	563	563	0	0
IS	119	574	574	0	0
IS	120	562	562	0	0
IS	121	540	540	0	0
IS	122	549	549	0	0
IS	123	562	562	0	0
IS	124	512	512	0	0
IS	125	551	551	0	0
IS	126	529	529	0	0
IS	127	538	538	0	0
IS	128	523	523	0	0
IS	129	506	506	0	0
IS	130	514	514	0	0
IS	131	500	500	0	0
IS	132	491	491	0	0
IS	133	473	473	0	0
IS	134	464	464	0	0
IS	135	434	433	1	0
IS	136	437	437	0	0
IS	137	419	419	0	0
IS	138	468	468	0	0
IS	139	414	414	0	0
IS	140	434	434	0	0
IS	141	378	378	0	0
IS	142	392	392	0	0
IS	143	416	416	0	0
IS	144	374	374	0	0
IS	145	400	400	0	0
IS	146	373	373	0	0
IS	147	386	386	0	0
IS	148	345	345	0	0
IS	149	365	365	0	0
IS	150	353	353	0	0
IS	151	381	379	1	1
IS	152	349	349	0	0
IS	153	341	341	0	0
IS	154	315	315	0	0
IS	155	344	344	0	0
IS	156	340	340	0	0
IS	157	355	355	0	0
IS	158	318	318	0	0
IS	159	350	350	0	0
IS	160	306	306	0	0
IS	161	306	306	0	0
IS	162	297	297	0	0
IS	163	295	295	0	0
IS	164	292	292	0	0
IS	165	260	260	0	0
IS	166	296	296	0	0
IS	167	257	257	0	0
IS	168	291	291	0	0
IS	169	281	281	0	0
IS	170	269	269	0	0
IS	171	284	284	0	0
IS	172	262	262	0	0
IS	173	240	240	0	0
IS	174	268	268	0	0
IS	175	261	261	0	0
IS	176	283	283	0	0
IS	177	230	230	0	0
IS	178	264	264	0	0
IS	179	247	247	0	0
IS	180	253	253	0	0
IS	181	232	232	0	0
IS	182	244	244	0	0
IS	183	226	226	0	0
IS	184	239	239	0	0
IS	185	252	252	0	0
IS	186	241	241	0	0
IS	187	229	229	0	0
IS	188	237	237	0	0
IS	189	244	244	0	0
IS	190	234	234	0	0
IS	191	231	231	0	0
IS	192	262	262	0	0
IS	193	230	229	0	1
IS	194	235	235	0	0
IS	195	215	215	0	0
IS	196	266	266	0	0
IS	197	231	231	0	0
IS	198	240	240	0	0
IS	199	226	226	0	0
IS	200	209	209	0	0
IS	201	221	221	0	0
IS	202	206	206	0	0
IS	203	232	232	0	0
IS	204	244	244	0	0
IS	205	240	240	0	0
IS	206	233	233	0	0
IS	207	252	252	0	0
IS	208	270	270	0	0
IS	209	228	228	0	0
IS	210	254	254	0	0
IS	211	272	272	0	0
IS	212	251	251	0	0
IS	213	257	257	0	0
IS	214	253	253	0	0
IS	215	266	266	0	0
IS	216	283	283	0	0
IS	217	280	280	0	0
IS	218	261	261	0	0
IS	219	282	282	0	0
IS	220	281	281	0	0
IS	221	270	270	0	0
IS	222	272	272	0	0
IS	223	277	277	0	0
IS	224	250	250	0	0
IS	225	281	281	0	0
IS	226	283	283	0	0
IS	227	286	286	0	0
IS	228	282	282	0	0
IS	229	252	252	0	0
IS	230	289	289	0	0
IS	231	278	278	0	0
